date, pm25, pm10, no2, so2, co
2025/4/1, 13, 77, 31, 14, 11
2025/4/2, 34, 81, 24, 14, 12
2025/4/3, 32, 51, 27, 16, 7
2025/4/4, 18, 90, 29, 20, 15
2025/4/5, 55, 75, 23, 7, 6
2025/4/6, 29, 73, 31, 21, 10
2025/4/7, 33, 81, 30, 18, 12
2025/4/8, 56, 90, 32, 13, 10
2025/4/9, 33, 93, 26, 16, 9
2025/4/10, 31, 55, 11, 3, 2
2025/4/11, 16, 47, 27, 11, 8
2025/4/12, 42, 40, 23, 17, 5
2025/4/13, 17, 66, 23, 12, 6
2025/4/14, 32, 88, 39, 11, 4
2025/4/15, 22, 63, 20, 9, 6
2025/4/16, 18, 48, 19, 8, 8
2025/4/17, 13, , , , 
2025/1/1, 144, 127, 34, 62, 32
2025/1/2, 183, 130, 37, 61, 25
2025/1/3, 166, 372, 41, 58, 37
2025/1/4, 223, 309, 37, 56, 32
2025/1/5, 179, 114, 35, 52, 31
2025/1/6, 156, 33, 22, 19, 9
2025/1/7, 42, 120, 32, 59, 25
2025/1/8, 167, 81, 29, 35, 18
2025/1/9, 94, 85, 26, 24, 10
2025/1/10, 64, 113, 29, 44, 26
2025/1/11, 149, 107, 30, 43, 18
2025/1/12, 130, 108, 25, 43, 28
2025/1/13, 153, 56, 26, 27, 13
2025/1/14, 70, 148, 36, 58, 27
2025/1/15, 172, 143, 35, 63, 29
2025/1/16, 164, 152, 38, 69, 25
2025/1/17, 173, 184, 39, 66, 29
2025/1/18, 198, 139, 36, 52, 20
2025/1/19, 145, 163, 40, 61, 31
2025/1/20, 198, 114, 32, 35, 18
2025/1/21, 114, 126, 35, 45, 21
2025/1/22, 140, 115, 31, 37, 17
2025/1/23, 114, 88, 28, 22, 7
2025/1/24, 35, 39, 14, 9, 6
2025/1/25, 18, 63, 20, 9, 7
2025/1/26, 45, 122, 29, 38, 20
2025/1/27, 139, 108, 30, 32, 13
2025/1/28, 110, 86, 26, 23, 12
2025/1/29, 79, 22, 22, 16, 6
2025/1/30, 15, 60, 29, 25, 12
2025/1/31, 77, 94, 30, 36, 19
2025/2/1, 128, 66, 27, 16, 13
2025/2/2, 81, 136, 32, 51, 27
2025/2/3, 169, 77, 26, 17, 11
2025/2/4, 88, 45, 15, 13, 7
2025/2/5, 44, 17, 18, 8, 6
2025/2/6, 14, 103, 35, 38, 16
2025/2/7, 123, 105, 36, 41, 18
2025/2/8, 132, 119, 37, 44, 19
2025/2/9, 135, 82, 37, 37, 15
2025/2/10, 90, 46, 33, 16, 11
2025/2/11, 59, 108, 42, 41, 22
2025/2/12, 143, 143, 48, 60, 37
2025/2/13, 157, 138, 39, 36, 19
2025/2/14, 126, 83, 27, 17, 9
2025/2/15, 48, 105, 30, 27, 12
2025/2/16, 90, 113, 32, 27, 13
2025/2/17, 95, 115, 33, 26, 15
2025/2/18, 101, 124, 37, 34, 21
2025/2/19, 123, 80, 28, 19, 11
2025/2/20, 79, 115, 34, 29, 17
2025/2/21, 108, 131, 38, 45, 20
2025/2/22, 128, 129, 38, 39, 16
2025/2/23, 120, 124, 36, 33, 23
2025/2/24, 112, 116, 39, 36, 17
2025/2/25, 100, 120, 40, 30, 18
2025/2/26, 108, 155, 42, 37, 28
2025/2/27, 117, 86, 32, 27, 9
2025/2/28, 43, 51, 31, 16, 11
2025/3/1, 52, 81, 32, 20, 11
2025/3/2, 52, 87, 31, 21, 10
2025/3/3, 55, 34, 24, 14, 7
2025/3/4, 24, 85, 32, 21, 11
2025/3/5, 92, 108, 37, 25, 16
2025/3/6, 118, 101, 34, 21, 12
2025/3/7, 93, 94, 35, 23, 14
2025/3/8, 67, 118, 23, 11, 6
2025/3/9, 44, 93, 31, 19, 11
2025/3/10, 52, 46, 26, 13, 5
2025/3/11, 17, 47, 25, 11, 9
2025/3/12, 33, 97, 24, 11, 9
2025/3/13, 54, 68, 26, 11, 8
2025/3/14, 34, 70, 28, 14, 9
2025/3/15, 50, 75, 21, 15, 9
2025/3/16, 51, 58, 28, 9, 5
2025/3/17, 29, 110, 40, 18, 15
2025/3/18, 64, 112, 36, 21, 22
2025/3/19, 84, 118, 35, 27, 20
2025/3/20, 72, 121, 35, 23, 21
2025/3/21, 74, 108, 32, 21, 15
2025/3/22, 62, 86, 19, 9, 6
2025/3/23, 40, 59, 21, 10, 5
2025/3/24, 18, 86, 26, 9, 11
2025/3/25, 31, 29, 14, 5, 4
2025/3/26, 9, 38, 18, 5, 5
2025/3/27, 13, 50, 26, 5, 8
2025/3/28, 33, 85, 31, 17, 15
2025/3/29, 65, 70, 27, 15, 10
2025/3/30, 49, 79, 28, 12, 13
2025/3/31, 54, 40, 27, 10, 6
2024/10/17, 33, 60, , 7, 8
2024/10/18, 28, 72, , 11, 13
2024/10/19, 32, 63, , 1, 4
2024/10/20, 18, 22, , 2, 6
2024/10/21, 22, 53, , 5, 13
2024/10/22, 60, 36, 36, 16, 12
2024/10/23, 30, 95, 35, 10, 20
2024/10/26, 7, 100, 28, 15, 11
2024/10/27, 64, 95, 24, 7, 7
2024/10/28, 54, 81, 26, 5, 10
2024/10/29, 39, 68, 22, , 7
2024/10/30, 30, 63, 27, 3, 10
2024/10/31, 45, 88, 24, 10, 11
2024/11/1, 61, 73, 22, 10, 11
2024/11/2, 45, 30, 15, 5, 6
2024/11/3, 14, 88, 24, 15, 11
2024/11/4, 70, 113, 30, 26, 15
2024/11/5, 79, 128, 32, 27, 20
2024/11/6, 108, 127, 31, 24, 18
2024/11/7, 101, 123, 31, 28, 22
2024/11/8, 95, 108, 25, 16, 18
2024/11/9, 74, 71, 25, 15, 12
2024/11/10, 45, 81, 26, 8, 10
2024/11/11, 32, 95, 27, 17, 12
2024/11/12, 57, 121, 30, 22, 21
2024/11/13, 98, 89, 30, 19, 15
2024/11/14, 74, 86, 22, 8, 6
2024/11/15, 14, 90, 25, 14, 12
2024/11/16, 58, 91, 25, 29, 13
2024/11/17, 74, 87, 27, 20, 15
2024/11/18, 71, 106, 30, 18, 15
2024/11/19, 89, 124, 34, 26, 19
2024/11/20, 101, 159, 37, 40, 30
2024/11/21, 155, 99, 30, 25, 20
2024/11/22, 82, 112, 28, 24, 16
2024/11/23, 93, 63, 14, 9, 8
2024/11/24, 28, 55, 21, 5, 8
2024/11/25, 36, 21, 17, 5, 5
2024/11/26, 15, 26, 17, 4, 4
2024/11/27, 10, 23, 29, 7, 7
2024/11/28, 21, 74, 35, 12, 19
2024/11/29, 89, 78, 32, 15, 18
2024/11/30, 98, 40, 16, 9, 7
2024/12/1, 26, 108, 30, 27, 16
2024/12/2, 109, 120, 34, 34, 20
2024/12/3, 135, 114, 34, 31, 22
2024/12/4, 140, 109, 32, 36, 25
2024/12/5, 135, 53, 25, 14, 12
2024/12/6, 78, 112, 33, 41, 22
2024/12/7, 158, 111, 34, 47, 23
2024/12/8, 158, 149, 39, 56, 35
2024/12/9, 210, 93, 31, 30, 21
2024/12/10, 134, 69, 26, 26, 12
2024/12/11, 71, 52, 26, 18, 13
