date, pm25, pm10, o3, no2, so2, co
2025/4/1, 27, 44, 50, 5, 6, 9
2025/4/2, 23, 90, 52, 5, 7, 3
2025/4/3, 37, 48, 45, 5, 7, 1
2025/4/4, 24, 51, 45, 2, 7, 2
2025/4/5, 24, 81, 60, 5, 9, 2
2025/4/6, 31, 45, 44, 2, 8, 1
2025/4/7, 26, 64, 47, 4, , 2
2025/4/8, 24, 102, 41, 9, 25, 1
2025/4/9, 47, 104, 48, 4, 14, 1
2025/4/10, 54, 71, 53, 2, 6, 5
2025/4/11, 57, 59, 34, 5, 23, 10
2025/4/12, 39, 47, 53, 5, 14, 1
2025/4/13, 27, 85, 44, 10, 23, 2
2025/4/14, 34, 90, 44, 6, 21, 
2025/4/15, 25, 76, 60, 4, 11, 1
2025/4/16, 30, 46, 38, 4, 6, 2
2025/4/17, 22, , , , , 
2025/1/1, 127, 113, 24, 40, 44, 13
2025/1/2, 163, 98, 19, 27, 39, 4
2025/1/3, 112, 143, 9, 48, 50, 6
2025/1/4, 188, 117, 23, 32, 33, 6
2025/1/5, 164, 105, 16, 48, 32, 10
2025/1/6, 143, 50, 42, 8, 17, 2
2025/1/7, 52, 65, 25, 11, 17, 13
2025/1/8, 74, 41, 48, 3, 10, 1
2025/1/9, 28, 48, 39, 16, 17, 1
2025/1/10, 36, 71, 29, 10, 20, 4
2025/1/11, 85, 77, 19, 9, 26, 1
2025/1/12, 81, 88, 33, 26, 28, 1
2025/1/13, 118, 62, 26, 24, 18, 8
2025/1/14, 67, 129, 13, 52, 40, 14
2025/1/15, 159, 95, 22, 10, 30, 3
2025/1/16, 91, 78, 29, 25, 24, 6
2025/1/17, 71, 130, 13, 28, 39, 11
2025/1/18, 152, 95, 31, 19, 39, 2
2025/1/19, 88, 124, 18, 27, 30, 2
2025/1/20, 147, 74, 31, 6, 19, 2
2025/1/21, 78, 74, 27, 16, 24, 1
2025/1/22, 66, 64, 38, 3, 19, 1
2025/1/23, 46, 43, 45, 4, 13, 14
2025/1/24, 22, 21, 48, 1, 6, 3
2025/1/25, 20, 24, 42, 4, 10, 
2025/1/26, 24, 68, 25, 12, 17, 4
2025/1/27, 82, 72, 29, 6, 24, 5
2025/1/28, 70, 46, 44, 2, 14, 2
2025/1/29, 45, 27, 44, 6, 9, 2
2025/1/30, 15, 38, 39, 11, 17, 3
2025/1/31, 44, 77, 26, 12, 27, 6
2025/2/1, 103, 61, 36, 10, 16, 2
2025/2/2, 87, 83, 31, 18, 23, 11
2025/2/3, 110, 53, 49, 9, 15, 3
2025/2/4, 59, 39, 50, 2, 11, 2
2025/2/5, 33, 25, 55, 7, 9, 1
2025/2/6, 21, 84, 34, 16, 25, 4
2025/2/7, 101, 77, 34, 7, 27, 3
2025/2/8, 80, 64, 34, 4, 20, 3
2025/2/9, 61, 54, 29, 7, 22, 1
2025/2/10, 49, 38, 36, 15, 14, 2
2025/2/11, 38, 76, 24, 28, 23, 3
2025/2/12, 106, 120, 25, 48, 27, 12
2025/2/13, 141, 73, 35, 8, 20, 3
2025/2/14, 61, 56, 38, 10, 15, 5
2025/2/15, 32, 64, 39, 5, 15, 5
2025/2/16, 54, 64, 38, 8, 14, 1
2025/2/17, 54, 83, 39, 16, 17, 3
2025/2/18, 83, 93, 37, 20, 21, 12
2025/2/19, 103, 64, 38, 6, 15, 4
2025/2/20, 53, 71, 35, 12, 15, 4
2025/2/21, 59, 84, 34, 10, 18, 2
2025/2/22, 64, 98, 28, 11, 26, 13
2025/2/23, 66, 94, 49, 15, 21, 21
2025/2/24, 73, 91, 37, 13, 21, 2
2025/2/25, 80, 99, 32, 19, 22, 5
2025/2/26, 88, 119, 37, 31, 24, 4
2025/2/27, 90, 69, 38, 4, 22, 4
2025/2/28, 45, 34, 42, 3, 13, 10
2025/3/1, 26, 41, 43, 2, 10, 1
2025/3/2, 29, 39, 41, 2, 13, 2
2025/3/3, 23, 34, 50, 2, 12, 11
2025/3/4, 22, 42, 43, 2, 9, 3
2025/3/5, 26, 51, 39, 4, 19, 2
2025/3/6, 30, 46, 44, 2, 9, 8
2025/3/7, 22, 49, 44, 2, 10, 2
2025/3/8, 21, 148, 57, 6, 25, 2
2025/3/9, 34, 62, 37, 4, 15, 14
2025/3/10, 33, 51, 45, 3, 13, 2
2025/3/11, 22, 31, 38, 3, 11, 4
2025/3/12, 25, 38, 45, 3, 9, 2
2025/3/13, 28, 40, 45, 5, 13, 1
2025/3/14, 29, 70, 37, 7, 22, 2
2025/3/15, 61, 57, 56, 5, 12, 2
2025/3/16, 33, 56, 52, 3, 12, 4
2025/3/17, 29, 95, 31, 21, 21, 4
2025/3/18, 35, 108, 33, 25, 26, 8
2025/3/19, 60, 109, 34, 29, 24, 3
2025/3/20, 57, 103, 30, 37, 25, 7
2025/3/21, 53, 98, 41, 20, 12, 8
2025/3/22, 48, 68, 58, 1, 6, 1
2025/3/23, 23, 83, 46, 2, 7, 10
2025/3/24, 24, 94, 49, 3, 7, 3
2025/3/25, 22, 34, 46, 2, 5, 1
2025/3/26, 27, 44, 42, 6, 10, 11
2025/3/27, 18, 42, 41, 6, 6, 3
2025/3/28, 25, 74, 49, 8, 13, 5
2025/3/29, 63, 48, 44, 4, 11, 2
2025/3/30, 33, 58, 55, 4, 11, 2
2025/3/31, 25, 58, 46, 4, 17, 1
2024/12/23, 27, 40, 49, 3, 11, 2
2024/12/24, 18, 27, 41, 5, 10, 
2024/12/25, 32, 27, 36, 11, 11, 2
2024/12/26, 37, 33, 34, 10, 36, 1
2024/12/27, 150, 104, 20, 45, 41, 2
2024/12/28, 87, 88, 17, 17, 28, 2
2024/12/29, 181, 136, 30, 52, 44, 15
2024/12/31, , 92, 29, 14, 26, 2
2024/10/17, , 98, 59, , 7, 
2024/10/18, , 51, 60, , 8, 
2024/10/19, , 66, 79, , 8, 
2024/10/20, , 39, 56, , 5, 
2024/10/21, , 33, 57, 3, 9, 1
2024/10/22, , 39, 44, 24, 10, 1
2024/10/23, , 73, 27, 34, 10, 3
2024/10/24, , 90, 26, 24, 12, 3
2024/10/25, , 37, 46, 2, 4, 
2024/10/26, , 40, 46, 10, 3, 
2024/10/27, , 77, 23, 12, 10, 1
2024/10/28, , 63, 29, 8, 7, 4
2024/10/29, , 51, 41, 4, 8, 2
2024/10/30, , 28, 33, 2, 5, 
2024/10/31, , 73, 25, 24, 5, 1
2024/11/1, , 67, 32, 10, 9, 1
2024/11/2, , 56, 39, 5, 8, 1
2024/11/3, , 32, 46, 8, 11, 2
2024/11/4, , 54, 30, 11, 12, 2
2024/11/5, , 73, 28, 11, 12, 2
2024/11/6, , 83, 21, 19, 14, 2
2024/11/7, , 76, 27, 13, 10, 2
2024/11/8, , 66, 34, 8, 10, 2
2024/11/9, , 120, 47, 18, 14, 2
2024/11/10, , 76, 41, 11, 8, 2
2024/11/11, , 75, 33, 17, 11, 1
2024/11/12, , 80, 42, 15, 11, 2
2024/11/13, , 83, 19, 18, 12, 2
2024/11/14, , 69, 38, 4, 7, 1
2024/11/15, , 122, 56, 6, 10, 1
2024/11/16, , 96, 36, 12, 17, 2
2024/11/17, , 56, 27, 4, 12, 1
2024/11/18, , 53, 39, 23, 8, 1
2024/11/19, , 95, 30, 21, 14, 3
2024/11/20, , 111, 19, 36, 16, 3
2024/11/21, , 142, 6, 53, 30, 6
2024/11/22, , 42, 45, 3, 7, 1
2024/11/23, , 76, 21, 13, 9, 
2024/11/24, , 56, 54, 3, 5, 1
2024/11/25, , 43, 42, 7, 6, 1
2024/11/26, , 58, 46, 8, 16, 
2024/11/27, , 64, 42, 5, 15, 2
2024/11/28, , 21, 46, 4, 14, 
2024/11/29, , 53, 25, 36, 10, 5
2024/11/30, , 61, 20, 18, 12, 3
2024/12/1, , 40, 64, 10, 7, 2
2024/12/2, , 79, 25, 20, 17, 2
2024/12/3, , 103, 20, 36, 21, 3
2024/12/4, , 85, 21, 27, 17, 1
2024/12/5, , 89, 24, 37, 17, 3
2024/12/6, , 49, 23, 17, 9, 1
2024/12/7, , 84, 14, 27, 28, 4
2024/12/8, , 80, 27, 30, 26, 3
2024/12/9, , 126, 6, 68, 33, 9
2024/12/10, , 96, 13, 34, 21, 6
2024/12/11, , 54, 35, 3, 23, 4
2024/12/12, , 43, 23, 21, 10, 5
2024/12/13, , 82, 18, 30, 22, 2
2024/12/14, , 115, 24, 52, 40, 10
2024/12/15, , 123, 10, 48, 40, 3
2024/12/16, , 132, 8, 53, 37, 4
2024/12/17, , 120, 13, 32, 40, 3
2024/12/18, , 77, 41, 4, 30, 3
2024/12/19, , 31, 41, 10, 12, 1
2024/12/20, , 51, 27, 18, 16, 2
2024/12/21, , 54, 41, 4, 18, 1
2024/12/22, , 62, 42, 8, 19, 5
2024/7/1, , 53, 84, , 4, 6
2024/7/2, , 56, 106, , 4, 8
2024/7/3, , 62, 100, , 4, 14
2024/7/4, , 72, 34, , 1, 8
2024/7/5, , 104, 96, , 7, 6
2024/7/6, , 87, 93, , 6, 1
2024/7/7, , 58, 112, , 2, 7
2024/7/8, , 67, 117, , 3, 8
2024/7/9, , 65, 95, , 10, 4
2024/7/10, , 57, 113, , 2, 6
2024/7/11, , 49, 93, , 2, 2
2024/7/12, , 20, 86, , 2, 5
2024/7/13, , 29, 75, , 2, 11
2024/7/14, , 22, 91, , 4, 6
2024/7/15, , 25, 105, , 5, 2
2024/7/16, , 34, 89, , 4, 11
2024/7/17, , 32, 76, , 9, 8
2024/7/18, , 51, 93, , 9, 5
2024/7/19, , 50, 99, , 3, 9
2024/7/20, , 55, 65, , 3, 4
2024/7/21, , 22, 69, , 4, 6
2024/7/22, , 39, 80, , 8, 2
2024/7/23, , 66, 82, , 3, 3
2024/7/24, , 7, 67, , 5, 2
2024/7/25, , 2, 50, , 9, 
2024/7/26, , 1, 55, , 3, 
2024/7/27, , 2, 79, , 2, 
2024/7/28, , 2, 94, , 4, 
2024/7/29, , 2, 93, , 9, 
2024/7/30, , 1, 63, , 5, 
2024/7/31, , 13, 46, , 2, 
2024/8/1, , 39, 60, , 3, 
2024/8/2, , 12, 53, , 4, 
2024/8/3, , 28, 49, , 21, 
2024/8/4, , 56, 75, , 4, 
2024/8/5, , 48, 72, , 3, 
2024/8/6, , 51, 102, , 2, 16
2024/8/7, , 53, 73, , 3, 5
2024/8/8, , 32, 76, , 2, 1
2024/8/9, , 12, 71, , 4, 2
2024/8/10, , 46, 76, , 3, 2
2024/8/11, , 36, 96, , 1, 3
2024/8/12, , 32, 97, , 2, 4
2024/8/13, , 40, 93, , 3, 5
2024/8/14, , 41, 62, , 3, 2
2024/8/15, , 43, 87, , 2, 1
2024/8/16, , 25, 80, , 3, 2
2024/8/17, , 20, 60, , 4, 4
2024/8/18, , 36, 89, , 1, 4
2024/8/19, , 20, 61, , 3, 3
2024/8/20, , 43, 56, , 4, 2
2024/8/21, , 44, 32, , 1, 1
2024/8/22, , 38, 76, , 4, 3
2024/8/23, , 37, 66, , 5, 6
2024/8/24, , 38, 72, , 2, 1
2024/8/25, , 29, 74, , 2, 2
2024/8/26, , 43, 80, , 2, 3
2024/8/27, , 43, 56, , 1, 3
2024/8/28, , 48, 72, , 1, 1
2024/8/29, , 27, 53, , 1, 
2024/8/30, , 37, 64, , 1, 
2024/8/31, , 19, 54, , , 
2024/9/1, , 34, 81, , , 5
2024/9/2, , 23, 60, , , 4
2024/9/3, , 36, 46, , , 2
2024/9/4, , 76, 50, , , 2
2024/9/5, , 36, 65, , 30, 30
2024/9/6, , 48, 78, , 5, 33
2024/9/7, , 57, 92, , 4, 19
2024/9/8, , 60, 56, , 7, 8
2024/9/9, , 55, 42, , 11, 
2024/9/10, , 63, 52, , 5, 
2024/9/11, , 45, 54, , 5, 
2024/9/12, , 49, 30, , 4, 
2024/9/13, , 33, 73, , 3, 
2024/9/14, , 17, 72, , 3, 
2024/9/15, , 35, 41, , 5, 
2024/9/16, , 51, 54, , 7, 
2024/9/17, , 52, 41, , 7, 
2024/9/18, , 62, 44, , 9, 
2024/9/19, , 39, 46, , 4, 3
2024/9/20, , 18, 45, , 5, 1
2024/9/21, , 41, 54, , 5, 
2024/9/22, , 53, 50, , 4, 
2024/9/23, , 37, 55, , 7, 1
2024/9/24, , 79, 66, , 5, 
2024/9/25, , 64, 53, , 5, 
2024/9/26, , 67, 28, , 6, 1
2024/9/27, , 42, 25, , 3, 
2024/4/1, , 27, 64, , 5, 6
2024/4/2, , 32, 64, , 6, 2
2024/4/3, , 45, 61, , 5, 2
2024/4/4, , 36, 51, , 20, 6
2024/4/5, , 75, 53, , 20, 11
2024/4/6, , 110, 63, , 11, 4
2024/4/7, , 68, 69, , 6, 3
2024/4/8, , 56, 58, , 8, 2
2024/4/9, , 46, 65, , 7, 2
2024/4/10, , 61, 56, , 24, 4
2024/4/11, , 97, 44, , 22, 4
2024/4/12, , 97, 83, , 4, 1
2024/4/13, , 128, 76, , 5, 3
2024/4/14, , 75, 60, , 12, 7
2024/4/15, , 66, 56, , 18, 1
2024/4/16, , 66, 67, , 11, 2
2024/4/17, , 52, 76, , 8, 4
2024/4/18, , 46, 67, , 5, 4
2024/4/19, , 58, 62, , 11, 2
2024/4/20, , 60, 58, , 5, 3
2024/4/21, , 22, 56, , 5, 3
2024/4/22, , 24, 63, , 14, 2
2024/4/23, , 60, 72, , 5, 3
2024/4/24, , 37, 72, , 6, 4
2024/4/25, , 43, 70, , 3, 2
2024/4/26, , 36, 64, , 4, 3
2024/4/27, , 36, 58, , 19, 3
2024/4/28, , 50, 44, , 23, 4
2024/4/29, , 85, 60, , 5, 3
2024/4/30, , 72, 53, , 22, 4
2024/5/1, , 104, 65, , 7, 2
2024/5/2, , 73, 67, , 7, 2
2024/5/3, , 99, 90, , 3, 3
2024/5/4, , 61, 87, , 4, 3
2024/5/5, , 78, 68, , 6, 3
2024/5/6, , 43, 67, , 5, 2
2024/5/7, , 74, 68, , 7, 2
2024/5/8, , 70, 65, , 11, 2
2024/5/9, , 43, 79, , 3, 2
