date, pm25, pm10, o3, no2, so2, co
2025/1/7, 54, 64, 13, 10, 26, 12
2025/1/8, 181, 125, 8, 30, 62, 18
2025/1/9, 209, 139, 5, 29, 62, 24
2025/1/10, 169, 134, 6, 21, 66, 25
2025/1/11, 192, 135, 7, 26, 54, 22
2025/1/12, 184, 142, 4, 28, 68, 25
2025/1/13, 165, 150, 12, 34, 65, 35
2025/1/14, 125, 87, 9, 16, 35, 12
2025/1/15, 191, 124, 6, 25, 47, 19
2025/1/16, 230, 157, 4, 36, 71, 26
2025/1/17, 212, 160, 3, 33, 82, 28
2025/1/18, 239, 181, 3, 37, 80, 32
2025/1/19, 191, 154, 5, 25, 71, 25
2025/1/20, 190, 144, 5, 20, 54, 22
2025/1/21, 182, 133, 7, 25, 55, 21
2025/1/22, 212, 158, 3, 30, 65, 27
2025/1/23, 144, 106, 7, 13, 51, 18
2025/1/24, 60, 72, 14, 6, 30, 7
2025/1/25, 39, 44, 18, 5, 10, 5
2025/1/26, 112, 88, 13, 9, 19, 11
2025/1/27, 148, 116, 9, 19, 36, 14
2025/1/28, 140, 112, 8, 13, 47, 15
2025/1/29, 124, 101, 15, 9, 46, 16
2025/1/30, 70, 47, 19, 10, 34, 8
2025/1/31, 163, 111, 8, 21, 55, 20
2025/2/1, 170, 122, 10, 20, 50, 24
2025/2/2, 147, 104, 15, 13, 41, 18
2025/2/3, 160, 119, 9, 17, 42, 17
2025/2/4, 124, 106, 19, 10, 35, 18
2025/2/5, 66, 69, 18, 6, 22, 9
2025/2/6, 65, 50, 22, 8, 14, 6
2025/2/7, 165, 117, 9, 18, 46, 16
2025/2/8, 170, 119, 8, 15, 59, 18
2025/2/9, 177, 125, 9, 15, 53, 19
2025/2/10, 131, 98, 9, 13, 65, 22
2025/2/11, 109, 69, 14, 13, 22, 12
2025/2/12, 174, 110, 7, 22, 39, 20
2025/2/13, 150, 88, 11, 14, 37, 15
2025/2/14, 149, 112, 13, 18, 35, 18
2025/2/15, 91, 83, 15, 7, 18, 9
2025/2/16, 144, 108, 12, 11, 30, 13
2025/2/17, 127, 108, 10, 9, 41, 13
2025/2/18, 152, 113, 13, 15, 30, 15
2025/2/19, 128, 103, 14, 10, 22, 12
2025/2/20, 108, 87, 16, 8, 18, 11
2025/2/21, 114, 111, 14, 12, 22, 11
2025/2/22, 145, 117, 11, 10, 35, 12
