date, pm25, pm10, o3, no2, so2, co
2025/4/1, 2, , , 13, 5, 2
2025/4/2, 3, 133, , 16, 7, 6
2025/4/3, 11, 141, 8, 22, 14, 6
2025/4/4, 56, 81, 11, 21, 6, 2
2025/4/5, 26, 708, 15, 21, 6, 3
2025/4/6, 107, 82, 12, 23, 8, 2
2025/4/7, 27, 148, 11, 29, 8, 3
2025/4/8, 36, 264, 12, 29, 8, 2
2025/4/9, 66, 171, 13, 18, 9, 2
2025/4/10, 49, 247, 15, 5, 2, 1
2025/4/11, 33, 79, 10, 20, 11, 6
2025/4/12, 35, 65, 16, 15, 7, 6
2025/4/13, 20, 116, 11, 36, 15, 3
2025/4/14, 33, 124, 12, 31, 13, 2
2025/4/15, 33, 222, 16, 19, 4, 6
2025/4/16, 48, 105, 6, 36, 2, 1
2025/4/17, 26, , , , , 
2025/1/1, 129, 132, 5, 27, 50, 12
2025/1/2, 129, 121, 9, 25, 49, 7
2025/1/3, 91, 157, 3, 34, 59, 12
2025/1/4, 154, 127, 5, 30, 40, 11
2025/1/5, 146, 122, 8, 27, 43, 14
2025/1/6, 127, 64, 20, 12, 20, 9
2025/1/7, 41, 88, 11, 18, 33, 5
2025/1/8, 72, 66, 17, 7, 26, 3
2025/1/9, 42, 68, 15, 14, 39, 4
2025/1/10, 41, 110, 4, 24, 51, 7
2025/1/11, 106, 101, 6, 22, 55, 4
2025/1/12, 84, 96, 13, 16, 41, 7
2025/1/13, 88, 80, 8, 19, 48, 7
2025/1/14, 72, 125, 2, 27, 77, 20
2025/1/15, 110, 114, 8, 24, 81, 33
2025/1/16, 73, 92, 15, 18, 48, 4
2025/1/17, 54, 150, 6, 28, 76, 11
2025/1/18, 120, 116, 13, 21, 55, 6
2025/1/19, 74, 139, 6, 30, 61, 11
2025/1/20, 126, 100, 13, 19, 73, 5
2025/1/21, 81, 89, 10, 23, 50, 39
2025/1/22, 69, 83, 16, 17, 32, 2
2025/1/23, 53, 56, 16, 14, 16, 3
2025/1/24, 24, 26, 16, 7, 10, 2
2025/1/25, 16, 55, 13, 18, 21, 3
2025/1/26, 41, 102, 6, 27, 39, 7
2025/1/27, 111, 84, 12, 22, 44, 4
2025/1/28, 79, 57, 17, 11, 30, 3
2025/1/29, 49, 43, 15, 14, 21, 4
2025/1/30, 23, 60, 14, 18, 34, 5
2025/1/31, 47, 94, 10, 25, 43, 7
2025/2/1, 102, 79, 15, 19, 30, 4
2025/2/2, 75, 111, 6, 32, 46, 8
2025/2/3, 117, 62, 17, 16, 26, 4
2025/2/4, 60, 88, 17, 10, 25, 3
2025/2/5, 41, 56, 18, 9, 14, 2
